name	Gr	W	L	Tot	W_pct	selection	finals_app	g_W	g_L	Tot_Gms	g_W_pct
陳俊廷 - 個人報名	男	3	4	7	0.429	-	0	12	14	26	0.462
周秉澄 - 松山家商	男	3	4	7	0.429	-	0	12	14	26	0.462
余奕慶 - 合作金庫	男	3	4	7	0.429	-	0	13	16	29	0.448
戴茗葦 - 北市大	男	3	4	7	0.429	-	0	12	15	27	0.444
楊謝翊 - 智淵乒乓	男	3	4	7	0.429	-	0	11	16	27	0.407
張家皓 - 國立體大	男	3	5	8	0.375	-	0	17	15	32	0.531
林子恩 - 臺灣體大	男	3	5	8	0.375	-	0	13	15	28	0.464
陳俊侑 - 東泰高中	男	3	5	8	0.375	-	0	12	15	27	0.444
邱笠宸 - 合作金庫	男	3	5	8	0.375	-	0	13	17	30	0.433
辜崇晏 - 臺灣體大	男	3	5	8	0.375	-	0	13	18	31	0.419
余秉宸 - 合作金庫	男	2	4	6	0.333	-	0	12	12	24	0.500
黃毓仁 - 第一銀行	男	2	4	6	0.333	-	0	11	13	24	0.458
林孟帆 - 中華國中	男	2	4	6	0.333	-	0	10	14	24	0.417
方詠恩 - 第一銀行	男	2	4	6	0.333	-	0	10	14	24	0.417
黃守心 - 松山家商	男	2	4	6	0.333	-	0	10	16	26	0.385
劉士銘 - 第一銀行	男	2	4	6	0.333	-	0	8	13	21	0.381
何少汯 - 香山高中	男	2	4	6	0.333	-	0	8	16	24	0.333
董少丞 - 臺灣師大	男	2	5	7	0.286	-	0	10	16	26	0.385
張睿煬 - 第一銀行	男	2	5	7	0.286	-	0	10	17	27	0.370
曾宥維 - 八馬國際	男	2	5	7	0.286	-	0	9	16	25	0.360
吳秋信 - 臺灣體大	男	2	5	7	0.286	-	0	9	16	25	0.360
姜承佑 - 海山高中	男	2	5	7	0.286	-	0	9	16	25	0.360
林大棋 - 福誠高中	男	2	5	7	0.286	-	0	9	17	26	0.346
周奕安 - 海山高中	男	2	5	7	0.286	-	0	8	19	27	0.296
柯勇全 - 智淵乒乓	男	1	4	5	0.200	-	0	9	12	21	0.429
方炳崴 - 第一銀行	男	1	4	5	0.200	-	0	8	12	20	0.400
張力元 - 八馬國際	男	1	4	5	0.200	-	0	5	12	17	0.294
邱祐宏 - 臺灣師大	男	1	4	5	0.200	-	0	5	12	17	0.294
蕭惟之 - 八馬國際	男	1	4	5	0.200	-	0	5	13	18	0.278
張岳 - 彰德國中	男	1	4	5	0.200	-	0	5	13	18	0.278
葉易樺 - 八馬國際	男	1	4	5	0.200	-	0	4	13	17	0.235
呂亮緯 - 金石乒乓	男	1	5	6	0.167	-	0	11	16	27	0.407
陳柏諺 - 海山高中	男	1	5	6	0.167	-	0	9	15	24	0.375
彭聖棋 - 香山高中	男	1	5	6	0.167	-	0	7	15	22	0.318
黃祐柏 - 合作金庫	男	1	5	6	0.167	-	0	7	16	23	0.304
李俊霆 - 第一銀行	男	1	5	6	0.167	-	0	5	15	20	0.250
洪翔宥 - 海山高中	男	1	5	6	0.167	-	0	5	16	21	0.238
謝譯賢 - 個人報名	男	1	5	6	0.167	-	0	5	17	22	0.227
陳又安 - 至正國中	男	1	5	6	0.167	-	0	3	15	18	0.167
廖堉棋 - 合作金庫	男	0	2	2	0.000	-	0	3	6	9	0.333
吳喆安 - 高雄師範	男	0	5	5	0.000	-	0	7	15	22	0.318
張秉恩 - 第一銀行	男	0	5	5	0.000	-	0	6	15	21	0.286
許宸逢 - 八馬國際	男	0	4	4	0.000	-	0	4	12	16	0.250
林學庸 - 臺南桌委	男	0	5	5	0.000	-	0	4	15	19	0.211
林子鈞 - 個人報名	男	0	5	5	0.000	-	0	3	15	18	0.167
謝承翰 - 東山高中	男	0	5	5	0.000	-	0	3	15	18	0.167
李宇 - 東山高中	男	0	5	5	0.000	-	0	3	15	18	0.167
黃紹愷 - 中信國小	男	0	4	4	0.000	-	0	2	12	14	0.143
張致榮 - 藝術高中	男	0	5	5	0.000	-	0	2	15	17	0.118
許詠傑 - 藝術高中	男	0	5	5	0.000	-	0	2	15	17	0.118
陳浩洋 - 東山高中	男	0	5	5	0.000	-	0	2	15	17	0.118
蔡宗桓 - 金石乒乓	男	0	5	5	0.000	-	0	1	15	16	0.062
陳楷庭 - 屏東科大	男	0	5	5	0.000	-	0	1	15	16	0.062
陳柏鈞 - 金石乒乓	男	0	5	5	0.000	-	0	0	15	15	0.000
朱芫毅 - 至正國中	男	0	5	5	0.000	-	0	0	15	15	0.000
虞善琦 - 	男	0	5	5	0.000	-	0	0	15	15	0.000
顏瑜廷 - 個人報名	男	0	5	5	0.000	-	0	0	15	15	0.000
楊博翔 - 臺灣師大	男	0	1	1	0.000	-	0	0	3	3	0.000
林思佑 - 東山高中	男	0	5	5	0.000	-	0	0	15	15	0.000
李冠炫 - 香山高中	男	0	5	5	0.000	-	0	0	15	15	0.000
